"vacc_self","vacc_others01","vacc_others02","vacc_others03","vacc_others04","vacc_others05","masks_self","masks_others_never","masks_others_sometimes","masks_others_half","masks_others_often","masks_others_always","testing_self","testing_others_never","testing_others_sometimes","testing_others_half","testing_others_often","testing_others_always"
4,30,16,23,24,7,3,40,50,10,0,0,2,15,18,19,24,24
1,100,0,0,0,0,4,0,0,0,100,0,4,0,0,0,100,0
2,44,29,15,12,0,3,5,22,37,25,11,5,20,50,16,14,0
5,7,17,12,44,20,3,5,7,14,29,45,5,15,22,0,10,53
5,10,10,10,20,50,5,0,10,20,50,20,5,10,20,10,10,50
2,38,49,13,0,0,4,0,0,0,100,0,3,0,0,100,0,0
4,7,10,0,70,13,4,0,0,0,85,15,2,0,100,0,0,0
5,0,0,0,100,0,5,0,0,0,100,0,1,100,0,0,0,0
3,53,19,20,8,0,4,0,0,0,100,0,4,82,8,0,7,3
5,5,5,10,30,50,4,2,5,28,30,35,4,5,5,10,25,55
4,0,50,0,50,0,5,0,0,0,0,100,2,0,100,0,0,0
5,0,0,0,50,50,5,0,0,0,0,100,4,0,50,0,50,0
4,20,10,30,20,20,5,10,10,40,20,20,2,0,50,0,50,0
1,100,0,0,0,0,3,13,32,44,11,0,5,3,3,24,27,43
3,100,0,0,0,0,5,0,0,0,100,0,5,0,0,0,100,0
4,3,4,7,46,40,5,1,3,11,38,47,2,67,2,3,7,21
5,20,10,5,5,60,4,0,0,15,0,85,4,5,10,60,5,20
5,0,0,0,50,50,5,0,0,10,40,50,1,50,20,25,5,0
1,40,25,15,10,10,2,0,65,25,10,0,2,5,70,20,5,0
1,100,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0
1,100,0,0,0,0,1,30,70,0,0,0,2,0,100,0,0,0
5,9,8,8,30,45,5,5,5,9,9,72,4,0,1,4,5,90
1,100,0,0,0,0,4,0,0,0,0,100,1,80,20,0,0,0
NA,4,0,0,63,33,NA,0,0,0,0,100,NA,100,0,0,0,0
5,20,20,0,30,30,NA,0,5,5,10,80,4,5,5,30,40,20
5,0,0,0,0,100,5,0,0,0,0,100,2,0,100,0,0,0
4,10,0,0,60,30,5,0,0,0,0,100,2,0,10,0,30,60
5,10,10,20,30,30,5,0,0,0,0,100,5,0,0,0,0,100
3,50,30,10,10,0,4,0,0,80,20,0,1,80,10,10,0,0
5,20,30,10,20,20,5,0,10,10,40,40,1,90,10,0,0,0
3,60,20,10,0,10,2,20,30,20,20,10,2,10,10,30,25,25
5,21,18,10,10,41,NA,11,18,13,19,39,2,24,24,24,16,12
5,0,0,0,0,100,5,0,0,0,0,100,5,0,0,0,0,100
1,100,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0
5,0,0,0,72,28,NA,0,9,16,56,19,1,100,0,0,0,0
1,89,11,0,0,0,4,0,10,40,50,0,3,0,10,80,10,0
5,21,12,6,61,0,4,6,5,9,33,47,1,84,16,0,0,0
2,5,11,10,74,0,5,0,10,20,20,50,2,0,75,25,0,0
1,90,0,0,0,10,5,0,0,0,0,100,1,0,0,100,0,0
5,0,0,0,0,100,5,0,10,10,0,80,4,0,0,50,50,0
3,25,20,5,25,25,4,30,0,0,20,50,1,100,0,0,0,0
5,0,11,21,30,38,5,0,0,5,33,62,4,13,23,40,15,9
4,30,20,10,30,10,3,20,20,20,20,20,3,30,20,30,20,0
4,1,1,1,92,5,5,0,0,0,100,0,2,0,0,0,100,0
